text,category,priority
Grass not trimmed in Nagar Panchayat public garden,Parks,Low
Scholarship money not distributed in Nagar Panchayat,Education,Low
Bus routes reduced suddenly in Village Kalan,Transport,Low
Water pipe burst on Main Bazaar flooding the street,Water,Critical
Bus not stopping at Ward 12 stop,Transport,Low
Street lamp broken near bus stop on Main Bazaar,Electricity,Low
Theft incidents increasing in Nagar Panchayat locality,Safety,Critical
Electric meter not working properly in Nagar Panchayat,Electricity,High
Gambling den operating in Mohalla 7,Safety,Medium
Transformer blew up near Puram Extension market,Electricity,Low
Construction dust affecting Puram Extension residents,Construction,Low
Illegal electrical connections spotted in Ward 12,Electricity,Low
Leaking water pipe wasting water on Main Bazaar,Water,High
Children playground dirty and unsafe in Puram Extension,Parks,Low
No power supply during festival in Ward 12,Electricity,High
Mid-day meal not provided in Town Area school,Education,Medium
Rowdy elements troubling residents of Block 3,Safety,Critical
No sports facilities in Sector 5 school,Education,Low
Bins not emptied since last week in Village Kalan,Sanitation,Medium
Sewage smell unbearable near Ward 12,Sanitation,Medium
Traffic signals not working on Main Bazaar,Transport,High
Teachers absent regularly from Sector 5 school,Education,High
No security guard in Puram Extension park,Parks,Medium
Power outage in Colony B colony since morning,Electricity,High
Bus routes reduced suddenly in Mohalla 7,Transport,High
Construction debris on footpath on School Lane,Construction,Medium
Footpath broken and dangerous for walkers near Mohalla 7,Road,High
Contaminated water supply causing illness in Block 3,Water,High
Playground equipment damaged in Zone 4 park,Parks,Low
Children playground dirty and unsafe in Nagar Panchayat,Parks,Medium
Garbage burning near Mohalla 7 school,Sanitation,High
No safety net during construction in Mohalla 7,Construction,Medium
Untrained teachers in Block 3 primary school,Education,Medium
No water pressure in building in Sector 5,Water,High
Unauthorized commercial construction in Sector 5,Construction,High
No safety net during construction in Colony B,Construction,High
Street flooding on Main Bazaar during monsoon,Road,Medium
Construction debris on footpath on Hospital Road,Construction,High
No sports facilities in Ward 12 school,Education,High
CCTV cameras vandalized near Ward 12,Safety,High
Construction dust affecting Ward 12 residents,Construction,Low
Health worker absent from Village Kalan since 3 days,Healthcare,Critical
Lights flickering in Ward 12 residential area,Electricity,Low
Park walls have graffiti in Sector 5,Parks,Medium
Health worker absent from Puram Extension since 2 days,Healthcare,Critical
Night watchman absent from Colony B,Safety,Critical
Road construction debris not cleared near Puram Extension,Road,Medium
CCTV cameras not working on MG Road,Transport,Medium
Ambulance service not responding in Zone 4,Healthcare,High
No toilets in Mohalla 7 government school,Education,Low
Construction debris on footpath on MG Road,Construction,Low
Water supply cut off for 10 days in Block 3,Water,Critical
Blood bank not available in Town Area hospital,Healthcare,Critical
Transformer blew up near Town Area market,Electricity,Low
Sewage smell unbearable near Sector 5,Sanitation,High
Playground equipment damaged in Colony B park,Parks,Low
Sewage overflow on Main Bazaar street near Village Kalan,Sanitation,High
CCTV cameras vandalized near Colony B,Safety,High
Rowdy elements troubling residents of Mohalla 7,Safety,Medium
Building violating height norms in Sector 5,Construction,Medium
Construction affecting water supply in Ward 12,Construction,Low
No lighting in dark lanes near Ward 12,Safety,High
Illegal weapons spotted near Town Area,Safety,Critical
No parking facility near Zone 4 market,Transport,Low
Chain snatching incidents in Town Area area,Safety,Critical
Chain snatching incidents in Village Kalan area,Safety,High
Water tank overflow flooding Temple Road,Water,High
Suspicious activity near ATM in Zone 4,Safety,Medium
Park benches broken and unusable in Zone 4,Parks,Low
No power supply during festival in Mohalla 7,Electricity,Low
Park gate broken in Village Kalan,Parks,Low
Street flooding on Hospital Road during monsoon,Road,High
No lighting in dark lanes near Nagar Panchayat,Safety,Medium
Power cut every day in Nagar Panchayat for 5 hours,Electricity,Medium
Road cave-in near Mohalla 7 drainage line,Road,Medium
Water supply cut off for 21 days in Sector 5,Water,Medium
CCTV cameras not working on Station Road,Transport,Low
Dirty conditions in Colony B government hospital,Healthcare,High
No maintenance of Nagar Panchayat garden since 10 days,Parks,Medium
Open defecation area near Zone 4 school,Sanitation,Medium
Waste collection vehicle not coming to Nagar Panchayat,Sanitation,High
Footpath broken and dangerous for walkers near Town Area,Road,Low
Lights flickering in Ward 12 residential area,Electricity,Low
Power cut every day in Mohalla 7 for 21 hours,Electricity,Medium
Unmarked speed breaker causing accidents on School Lane,Road,Low
Mid-day meal not provided in Nagar Panchayat school,Education,High
Park pathway broken and dangerous in Mohalla 7,Parks,Low
School building in bad condition in Sector 5,Education,Medium
No footpath for pedestrians on Temple Road,Transport,Medium
Water supply disrupted since 7 days,Water,Critical
Building violating height norms in Ward 12,Construction,High
Bridge has cracks need urgent repair on MG Road,Road,Low
Water pipe burst on NH-8 flooding the street,Water,Critical
Illegal liquor shop operating openly in Town Area,Safety,Medium
School has no blackboards in Puram Extension,Education,High
No footpath for pedestrians on MG Road,Transport,Low
CCTV cameras not working on Hospital Road,Transport,Low
Street harassment near Sector 5 school daily,Safety,Medium
High voltage wire hanging low on School Lane,Electricity,High
Dirty conditions in Village Kalan government hospital,Healthcare,Critical
Speed breaker damaged on Market Street highway,Road,Critical
Illegal construction blocking NH-8 in Colony B,Construction,Low
Women safety issues at Block 3 bus stop,Safety,Medium
Building violating height norms in Village Kalan,Construction,Medium
High voltage wire hanging low on Ring Road,Electricity,Medium
Trees fallen in Zone 4 park after storm,Parks,Low
Electric meter not working properly in Sector 5,Electricity,High
Health worker absent from Village Kalan since 21 days,Healthcare,High
Garbage burning near Colony B school,Sanitation,Medium
Bus not stopping at Town Area stop,Transport,Medium
Sewage mixing with drinking water in Colony B,Water,Low
Demolition without safety measures in Mohalla 7,Construction,Low
Construction affecting water supply in Ward 12,Construction,High
School missing benches for students in Town Area,Education,High
Night watchman absent from Town Area,Safety,Medium
Illegal weapons spotted near Block 3,Safety,Medium
No ASHA worker in Zone 4 area since 30 days,Healthcare,Critical
Garbage dump near Block 3 residential area,Sanitation,High
Computer lab non-functional in Village Kalan school,Education,Low
Library books damaged in Nagar Panchayat school,Education,Medium
Underground water leakage on Main Bazaar,Water,Critical
Construction blocking entrance to Puram Extension school,Construction,Medium
Women safety issues at Nagar Panchayat bus stop,Safety,Critical
Leaking water pipe wasting water on Temple Road,Water,Low
Park fountains not working in Village Kalan,Parks,Low
Unsafe scaffolding near School Lane,Construction,Low
No water supply for past 5 days in Town Area,Water,High
Water pipeline broken near Nagar Panchayat school,Water,High
Waste collection vehicle not coming to Mohalla 7,Sanitation,Medium
Illegal weapons spotted near Block 3,Safety,Critical
No parking facility near Town Area market,Transport,Low
Park pathway broken and dangerous in Puram Extension,Parks,Low
Public toilet not maintained in Village Kalan,Sanitation,High
No dustbin provided in Block 3 market,Sanitation,Medium
Construction work damaging water pipeline in Ward 12,Construction,Medium
Vaccination camp not organized in Sector 5,Healthcare,Critical
Water pipe burst on School Lane flooding the street,Water,Critical
Women safety issues at Colony B bus stop,Safety,Critical
Waste collection vehicle not coming to Sector 5,Sanitation,Low
School missing benches for students in Block 3,Education,Medium
Playground equipment damaged in Sector 5 park,Parks,Low
Dead animals not removed from Station Road,Sanitation,High
Rowdy elements troubling residents of Block 3,Safety,Critical
Auto drivers overcharging passengers in Zone 4,Transport,Low
Library books damaged in Town Area school,Education,Low
Park benches broken and unusable in Block 3,Parks,Low
School has no blackboards in Village Kalan,Education,Low
No water supply for past 7 days in Puram Extension,Water,High
Drug dealing happening in Ward 12 park,Safety,High
Street harassment near Village Kalan school daily,Safety,High
Lights flickering in Sector 5 residential area,Electricity,Medium
Vaccination camp not organized in Sector 5,Healthcare,Critical
Trees fallen in Village Kalan park after storm,Parks,Medium
Leaking water pipe wasting water on Temple Road,Water,High
Unmarked speed breaker causing accidents on School Lane,Road,Medium
Unauthorized extension built in Ward 12,Construction,Low
Construction affecting water supply in Puram Extension,Construction,Low
Computer lab non-functional in Colony B school,Education,Low
Drain blocked for 2 days in Zone 4,Sanitation,Low
Park gate broken in Village Kalan,Parks,Medium
Dead animals not removed from Main Bazaar,Sanitation,High
No road markings visible at night on Old Delhi Road,Road,Medium
Construction work damaging water pipeline in Town Area,Construction,Medium
Water supply cut off for 3 days in Town Area,Water,Medium
Water pipe burst on School Lane flooding the street,Water,Low
Park occupied by illegal vendors in Ward 12,Parks,Medium
Water supply disrupted since 3 days,Water,Medium
Construction dust affecting Puram Extension residents,Construction,High
Theft incidents increasing in Town Area locality,Safety,Medium
No power supply during festival in Nagar Panchayat,Electricity,Medium
Sewage smell unbearable near Colony B,Sanitation,High
No safety net during construction in Colony B,Construction,High
Unsafe scaffolding near NH-8,Construction,Low
Security cameras not working in Nagar Panchayat market,Safety,Critical
Dead animals not removed from MG Road,Sanitation,Medium
Women safety issues at Ward 12 bus stop,Safety,Medium
Electric box sparking near Block 3 school,Electricity,High
Road construction debris not cleared near Village Kalan,Road,Critical
Water pipeline broken near Colony B school,Water,Critical
Park gate broken in Town Area,Parks,Low
Police not patrolling Village Kalan area since 7 days,Safety,Critical
No power supply during festival in Village Kalan,Electricity,Medium
Trees fallen in Town Area park after storm,Parks,Medium
No water supply for past 14 days in Nagar Panchayat,Water,High
Dirty conditions in Town Area government hospital,Healthcare,Critical
Government hospital lacks medicines in Block 3,Healthcare,High
Illegal construction blocking Ring Road in Village Kalan,Construction,Medium
Open defecation area near Town Area school,Sanitation,High
Illegal weapons spotted near Nagar Panchayat,Safety,Critical
Potholes causing vehicle damage on NH-8,Road,Medium
Theft incidents increasing in Mohalla 7 locality,Safety,Medium
Construction work damaging water pipeline in Block 3,Construction,High
Hospital ward overcrowded in Block 3,Healthcare,Critical
No drinking water in Town Area park,Parks,Low
No safety net during construction in Block 3,Construction,High
High voltage wire hanging low on NH-8,Electricity,High
Unmarked speed breaker causing accidents on Temple Road,Road,Medium
No power supply during festival in Colony B,Electricity,High
Water pipe burst on Old Delhi Road flooding the street,Water,High
Electricity bill error for Ward 12 residents,Electricity,Low
Sewage smell unbearable near Mohalla 7,Sanitation,High
Contaminated water supply causing illness in Block 3,Water,High
Road dividers removed illegally on MG Road,Transport,Medium
Building under construction without permit in Puram Extension,Construction,Medium
Footpath broken and dangerous for walkers near Puram Extension,Road,Medium
No ambulance available in Block 3,Healthcare,High
No doctors available at PHC in Colony B for 3 days,Healthcare,High
Street lights not working on School Lane since 30 days,Electricity,High
Dirty conditions in Ward 12 government hospital,Healthcare,High
No footpath for pedestrians on School Lane,Transport,Low
Medical equipment not working in Village Kalan hospital,Healthcare,Medium
Rowdy elements troubling residents of Village Kalan,Safety,Medium
Building violating height norms in Village Kalan,Construction,High
Encroachment in Mohalla 7 public park area,Parks,Low
Ambulance service not responding in Colony B,Healthcare,Critical
Rubble dumped on Hospital Road by contractor,Construction,Medium
Electricity bill error for Block 3 residents,Electricity,Low
Park benches broken and unusable in Colony B,Parks,Medium
Garbage not collected for 21 days in Town Area,Sanitation,Critical
Dirty brown water coming from tap in Town Area,Water,Critical
Untrained teachers in Ward 12 primary school,Education,Low
Potholes causing vehicle damage on Main Bazaar,Road,High
No sports facilities in Puram Extension school,Education,Medium
Scholarship money not distributed in Nagar Panchayat,Education,Medium
Suspicious activity near ATM in Nagar Panchayat,Safety,Critical
Garbage not collected for 10 days in Mohalla 7,Sanitation,Critical
Leaking water pipe wasting water on NH-8,Water,Medium
Sewage overflow on MG Road street near Colony B,Sanitation,High
Unsafe scaffolding near Old Delhi Road,Construction,Medium
Park occupied by illegal vendors in Nagar Panchayat,Parks,Medium
Park occupied by illegal vendors in Ward 12,Parks,Low
High voltage wire hanging low on Market Street,Electricity,High
No maintenance of Puram Extension garden since 21 days,Parks,Low
Health worker absent from Sector 5 since 14 days,Healthcare,Critical
Park occupied by illegal vendors in Mohalla 7,Parks,Medium
Blood bank not available in Sector 5 hospital,Healthcare,Critical
Playground equipment damaged in Sector 5 park,Parks,Medium
CCTV cameras vandalized near Sector 5,Safety,Critical
High voltage wire hanging low on Station Road,Electricity,Medium
Electricity bill error for Town Area residents,Electricity,High
No drinking water in Village Kalan school,Education,High
No dustbin provided in Block 3 market,Sanitation,Critical
Rowdy elements troubling residents of Town Area,Safety,Critical
Electric meter not working properly in Nagar Panchayat,Electricity,High
Health worker absent from Puram Extension since 14 days,Healthcare,Medium
No boundary wall in Colony B school,Education,High
Street lights not working on Hospital Road since 14 days,Electricity,Medium
Transformer blew up near Nagar Panchayat market,Electricity,High
Water supply cut off for 30 days in Town Area,Water,High
Waste collection vehicle not coming to Puram Extension,Sanitation,Medium
Water tanker not arriving on schedule in Mohalla 7,Water,Low
No road markings visible at night on Market Street,Road,High
Stray dogs near garbage dump in Village Kalan,Sanitation,Medium
Ambulance service not responding in Puram Extension,Healthcare,Critical
Underground water leakage on Temple Road,Water,Low
Garden lights not working in Village Kalan park,Parks,Low
Water supply disrupted since 30 days,Water,Critical
Building under construction without permit in Ward 12,Construction,Medium
Road is completely broken near Sector 5 since 7 days,Road,High
Theft incidents increasing in Block 3 locality,Safety,High
Footover bridge broken near Colony B station,Transport,Medium
Mid-day meal not provided in Puram Extension school,Education,Medium
Open defecation area near Town Area school,Sanitation,Low
Building under construction without permit in Puram Extension,Construction,Medium
Garbage dump near Ward 12 residential area,Sanitation,Medium
Encroachment in Nagar Panchayat public park area,Parks,Low
Divider damaged on NH-8 main street,Road,Low
Construction noise during night hours in Zone 4,Construction,High
Playground equipment damaged in Ward 12 park,Parks,Medium
Construction blocking entrance to Nagar Panchayat school,Construction,Medium
Street harassment near Village Kalan school daily,Safety,Medium
No doctors available at PHC in Sector 5 for 7 days,Healthcare,High
Blood bank not available in Nagar Panchayat hospital,Healthcare,Medium
Bus not stopping at Zone 4 stop,Transport,High
Park occupied by illegal vendors in Colony B,Parks,Low
No ASHA worker in Block 3 area since 21 days,Healthcare,High
Large pothole on Market Street causing accidents near Nagar Panchayat,Road,Medium
Playground equipment damaged in Ward 12 park,Parks,Low
Park pathway broken and dangerous in Ward 12,Parks,Low
Contaminated water supply causing illness in Puram Extension,Water,Critical
Road dividers removed illegally on Temple Road,Transport,Medium
Ambulance service not responding in Sector 5,Healthcare,High
Theft incidents increasing in Colony B locality,Safety,High
Building under construction without permit in Puram Extension,Construction,Low
Road dividers removed illegally on School Lane,Transport,Medium
Bus not stopping at Mohalla 7 stop,Transport,Low
Ambulance service not responding in Colony B,Healthcare,Critical
Construction noise during night hours in Village Kalan,Construction,Low
No ASHA worker in Block 3 area since 2 days,Healthcare,Critical
Playground equipment damaged in Zone 4 park,Parks,Low
No safety net during construction in Colony B,Construction,High
Building violating height norms in Puram Extension,Construction,High
Unauthorized extension built in Nagar Panchayat,Construction,High
Water meter showing wrong reading in Mohalla 7,Water,High
No parking facility near Zone 4 market,Transport,Low
No specialist doctor in Colony B PHC,Healthcare,Critical
Auto drivers overcharging passengers in Zone 4,Transport,Low
Underground water leakage on Temple Road,Water,High
Police not patrolling Ward 12 area since 3 days,Safety,Critical
Underground water leakage on Hospital Road,Water,High
Vaccination camp not organized in Nagar Panchayat,Healthcare,Critical
Sewage mixing with drinking water in Colony B,Water,Critical
Sewage smell unbearable near Puram Extension,Sanitation,Medium
School building in bad condition in Village Kalan,Education,Medium
Building violating height norms in Puram Extension,Construction,High
Broken road divider on Ring Road is dangerous,Road,Medium
CCTV cameras vandalized near Ward 12,Safety,Critical
Drug dealing happening in Colony B park,Safety,High
No road markings visible at night on Station Road,Road,Medium
Overloaded vehicles causing accidents on Main Bazaar,Transport,Medium
Unmarked speed breaker causing accidents on Temple Road,Road,Low
Bins not emptied since last week in Sector 5,Sanitation,Medium
No safety net during construction in Village Kalan,Construction,Medium
Mid-day meal not provided in Ward 12 school,Education,Medium
Sewage overflow on NH-8 street near Town Area,Sanitation,Low
Sewage mixing with drinking water in Block 3,Water,Medium
Rowdy elements troubling residents of Block 3,Safety,High
Ambulance service not responding in Block 3,Healthcare,Critical
Bus service not available to Block 3 village,Transport,Low
Road waterlogged after rain near Mohalla 7,Road,Low
Building violating height norms in Town Area,Construction,Low
Encroachment in Mohalla 7 public park area,Parks,Low
No security guard in Mohalla 7 park,Parks,Medium
No road markings visible at night on Station Road,Road,High
No drinking water in Sector 5 school,Education,Low
Construction debris on footpath on Station Road,Construction,High
Theft incidents increasing in Village Kalan locality,Safety,Medium
School missing benches for students in Ward 12,Education,High
Encroachment in Ward 12 public park area,Parks,Low
Electric poles damaged after storm near Puram Extension,Electricity,Low
Dead animals not removed from School Lane,Sanitation,Low
No toilets in Ward 12 government school,Education,Low
Construction noise during night hours in Ward 12,Construction,High
Night watchman absent from Sector 5,Safety,High
Chain snatching incidents in Nagar Panchayat area,Safety,Critical
No power supply during festival in Town Area,Electricity,Medium
Road is completely broken near Zone 4 since 21 days,Road,Medium
Rubble dumped on Station Road by contractor,Construction,Medium
Construction affecting water supply in Colony B,Construction,Medium
No footpath for pedestrians on Market Street,Transport,Medium
Garbage burning near Puram Extension school,Sanitation,Medium
Footpath broken and dangerous for walkers near Zone 4,Road,Critical
Unauthorized extension built in Colony B,Construction,Low
Garbage burning near Nagar Panchayat school,Sanitation,Medium
Park occupied by illegal vendors in Ward 12,Parks,Medium
Large pothole on Hospital Road causing accidents near Mohalla 7,Road,High
Construction blocking entrance to Colony B school,Construction,High
Sewage smell unbearable near Puram Extension,Sanitation,Critical
School has no blackboards in Mohalla 7,Education,Low
Health worker absent from Mohalla 7 since 5 days,Healthcare,Critical
Road is completely broken near Ward 12 since 3 days,Road,Medium
No street lights on dark NH-8 lane,Electricity,Low
Illegal parking blocking Main Bazaar in Block 3,Transport,Low
Street harassment near Sector 5 school daily,Safety,Critical
CCTV cameras vandalized near Ward 12,Safety,Medium
Scholarship money not distributed in Ward 12,Education,Low
Building under construction without permit in Zone 4,Construction,Low
Library books damaged in Mohalla 7 school,Education,High
Construction affecting water supply in Zone 4,Construction,Low
No bus shelter at Puram Extension bus stop,Transport,High
Power cut every day in Puram Extension for 2 hours,Electricity,High
Hospital ward overcrowded in Nagar Panchayat,Healthcare,High
Road is completely broken near Mohalla 7 since 10 days,Road,Critical
Sewage mixing with drinking water in Nagar Panchayat,Water,High
No dustbin provided in Sector 5 market,Sanitation,High
Anganwadi center closed for 5 days in Mohalla 7,Education,High
No power supply during festival in Town Area,Electricity,Medium
Bus service not available to Town Area village,Transport,Low
Construction debris on footpath on MG Road,Construction,Medium
Trees fallen in Nagar Panchayat park after storm,Parks,Low
No lighting in dark lanes near Nagar Panchayat,Safety,Medium
Dead animals not removed from School Lane,Sanitation,Medium
Teachers absent regularly from Village Kalan school,Education,High
Dirty drain causing disease spread in Village Kalan,Sanitation,Low
Dirty conditions in Block 3 government hospital,Healthcare,Medium
Long queues at Puram Extension government dispensary,Healthcare,Critical
CCTV cameras vandalized near Block 3,Safety,High
Electric poles damaged after storm near Puram Extension,Electricity,Low
No power supply during festival in Zone 4,Electricity,Medium
Divider damaged on Market Street main street,Road,High
Large pothole on NH-8 causing accidents near Ward 12,Road,Medium
Unauthorized commercial construction in Village Kalan,Construction,Low
School has no blackboards in Nagar Panchayat,Education,Medium
Electricity bill error for Mohalla 7 residents,Electricity,Low
Street lamp broken near bus stop on NH-8,Electricity,High
Garden lights not working in Block 3 park,Parks,Medium
Dirty conditions in Sector 5 government hospital,Healthcare,Critical
No ambulance available in Puram Extension,Healthcare,Critical
Theft incidents increasing in Ward 12 locality,Safety,Critical
No last mile connectivity in Colony B,Transport,Low
Overloaded vehicles causing accidents on Market Street,Transport,Medium
No last mile connectivity in Zone 4,Transport,Low
Construction debris on footpath on Old Delhi Road,Construction,High
Power outage in Puram Extension colony since morning,Electricity,Medium
Illegal liquor shop operating openly in Village Kalan,Safety,Medium
Park benches broken and unusable in Ward 12,Parks,Low
Construction affecting water supply in Puram Extension,Construction,Medium
Children playground dirty and unsafe in Zone 4,Parks,Medium
Hospital building in bad condition in Colony B,Healthcare,Critical
Vaccination camp not organized in Zone 4,Healthcare,Critical
Footover bridge broken near Ward 12 station,Transport,Medium
Drug dealing happening in Village Kalan park,Safety,High
Illegal construction blocking School Lane in Block 3,Construction,Medium
Bins not emptied since last week in Village Kalan,Sanitation,High
Library books damaged in Village Kalan school,Education,High
School missing benches for students in Mohalla 7,Education,Low
Water meter showing wrong reading in Sector 5,Water,High
Sewage mixing with drinking water in Block 3,Water,High
Illegal electrical connections spotted in Puram Extension,Electricity,High
No drinking water in Town Area park,Parks,Low
Unauthorized extension built in Nagar Panchayat,Construction,High
Drug dealing happening in Puram Extension park,Safety,Critical
Divider damaged on Old Delhi Road main street,Road,Medium
Traffic signals not working on Market Street,Transport,Low
Construction dust affecting Village Kalan residents,Construction,High
Street harassment near Block 3 school daily,Safety,Critical
Suspicious activity near ATM in Ward 12,Safety,Medium
School roof leaking during rain in Nagar Panchayat,Education,High
No ASHA worker in Town Area area since 21 days,Healthcare,High
CCTV cameras vandalized near Village Kalan,Safety,High
Water meter showing wrong reading in Nagar Panchayat,Water,Critical
Illegal weapons spotted near Block 3,Safety,Critical
CCTV cameras vandalized near Puram Extension,Safety,High
Illegal parking blocking Station Road in Sector 5,Transport,Low
Garbage dump near Zone 4 residential area,Sanitation,Medium
Health worker absent from Town Area since 7 days,Healthcare,Critical
E-rickshaw causing traffic jam in Village Kalan,Transport,Low
Sewage mixing with drinking water in Village Kalan,Water,Low
Dead animals not removed from School Lane,Sanitation,Medium
Construction debris on footpath on Ring Road,Construction,Low
School roof leaking during rain in Block 3,Education,Medium
Illegal water connection in Ward 12,Water,Low
Water supply disrupted since 21 days,Water,Low
Blood bank not available in Town Area hospital,Healthcare,High
Drain blocked for 5 days in Nagar Panchayat,Sanitation,High
Park occupied by illegal vendors in Colony B,Parks,Low
Garbage burning near Village Kalan school,Sanitation,High
Park benches broken and unusable in Mohalla 7,Parks,Medium
Illegal weapons spotted near Colony B,Safety,High
Construction debris on footpath on Station Road,Construction,Medium
Dead animals not removed from Temple Road,Sanitation,Critical
Security cameras not working in Ward 12 market,Safety,Medium
Garden lights not working in Village Kalan park,Parks,Medium
Library books damaged in Zone 4 school,Education,Low
Garden lights not working in Nagar Panchayat park,Parks,Low
Unauthorized commercial construction in Ward 12,Construction,Low
Unmarked speed breaker causing accidents on NH-8,Road,Low
No water supply for past 21 days in Puram Extension,Water,Low
Water tank overflow flooding Main Bazaar,Water,Critical
Theft incidents increasing in Puram Extension locality,Safety,Critical
Teachers absent regularly from Puram Extension school,Education,Low
Medical equipment not working in Town Area hospital,Healthcare,Critical
Footpath broken and dangerous for walkers near Mohalla 7,Road,Critical
Street lamp broken near bus stop on MG Road,Electricity,Low
Computer lab non-functional in Mohalla 7 school,Education,Low
No street lights on dark Hospital Road lane,Electricity,Low
Garden lights not working in Ward 12 park,Parks,Low
Bins not emptied since last week in Sector 5,Sanitation,Medium
No sports facilities in Sector 5 school,Education,Low
Drug dealing happening in Sector 5 park,Safety,Medium
Hospital ward overcrowded in Colony B,Healthcare,Critical
Gambling den operating in Sector 5,Safety,High
Contaminated water supply causing illness in Village Kalan,Water,High
Construction affecting water supply in Nagar Panchayat,Construction,Medium
No water pressure in building in Block 3,Water,Medium
Dirty drain causing disease spread in Block 3,Sanitation,Critical
Park pathway broken and dangerous in Sector 5,Parks,Medium
Water pipeline broken near Town Area school,Water,High
Sewage overflow on Main Bazaar street near Village Kalan,Sanitation,Critical
Sewage smell unbearable near Sector 5,Sanitation,High
Trees fallen in Sector 5 park after storm,Parks,Medium
No lighting in dark lanes near Town Area,Safety,Critical
Traffic signals not working on MG Road,Transport,Medium
Women safety issues at Zone 4 bus stop,Safety,Critical
Underground water leakage on NH-8,Water,Critical
Electric meter not working properly in Ward 12,Electricity,High
Garbage not collected for 10 days in Village Kalan,Sanitation,High
Suspicious activity near ATM in Zone 4,Safety,Critical
Computer lab non-functional in Nagar Panchayat school,Education,Medium
Night watchman absent from Ward 12,Safety,Critical
Stray dogs near garbage dump in Block 3,Sanitation,High
Women safety issues at Puram Extension bus stop,Safety,Medium
Large pothole on Hospital Road causing accidents near Puram Extension,Road,Critical
Bus not stopping at Mohalla 7 stop,Transport,Low
Grass not trimmed in Block 3 public garden,Parks,Low
Power cut every day in Mohalla 7 for 3 hours,Electricity,High
Long queues at Town Area government dispensary,Healthcare,Critical
No safety net during construction in Zone 4,Construction,Low
Hospital ward overcrowded in Sector 5,Healthcare,Medium
Teachers absent regularly from Town Area school,Education,High
Overloaded vehicles causing accidents on NH-8,Transport,Low
Road dividers removed illegally on Ring Road,Transport,Low
Water supply disrupted since 30 days,Water,High
Unsafe scaffolding near Main Bazaar,Construction,Medium
Gambling den operating in Nagar Panchayat,Safety,Medium
Park pathway broken and dangerous in Mohalla 7,Parks,Low
Drain blocked for 2 days in Zone 4,Sanitation,High
Sewage smell unbearable near Colony B,Sanitation,High
Road encroachment by shops on School Lane,Road,Critical
Water meter showing wrong reading in Sector 5,Water,Medium
Playground equipment damaged in Block 3 park,Parks,Low
No dustbin provided in Puram Extension market,Sanitation,Low
Blood bank not available in Sector 5 hospital,Healthcare,Critical
Scholarship money not distributed in Mohalla 7,Education,High
Dirty drain causing disease spread in Ward 12,Sanitation,Low
Footpath broken and dangerous for walkers near Sector 5,Road,Medium
Construction affecting water supply in Nagar Panchayat,Construction,Medium
School missing benches for students in Puram Extension,Education,Low
Suspicious activity near ATM in Puram Extension,Safety,High
Construction work damaging water pipeline in Sector 5,Construction,Low
Road dividers removed illegally on Station Road,Transport,Low
Power cut every day in Town Area for 2 hours,Electricity,Low
Demolition without safety measures in Village Kalan,Construction,Medium
Transformer blew up near Sector 5 market,Electricity,Low
No water supply for past 21 days in Block 3,Water,High
Park walls have graffiti in Ward 12,Parks,Medium
Mid-day meal not provided in Zone 4 school,Education,High
School roof leaking during rain in Town Area,Education,Medium
No doctors available at PHC in Colony B for 14 days,Healthcare,High
Garden lights not working in Sector 5 park,Parks,Medium
Scholarship money not distributed in Mohalla 7,Education,Medium
No toilets in Puram Extension government school,Education,Low
Street lights not working on NH-8 since 3 days,Electricity,High
Road cave-in near Nagar Panchayat drainage line,Road,High
Bins not emptied since last week in Block 3,Sanitation,Low
Gambling den operating in Zone 4,Safety,Medium
No ambulance available in Nagar Panchayat,Healthcare,Critical
Drain blocked for 3 days in Zone 4,Sanitation,High
Road waterlogged after rain near Town Area,Road,High
Footover bridge broken near Sector 5 station,Transport,Low
High voltage wire hanging low on Station Road,Electricity,Medium
No bus shelter at Puram Extension bus stop,Transport,Low
Unmarked speed breaker causing accidents on Hospital Road,Road,Critical
Road construction debris not cleared near Town Area,Road,High
Night watchman absent from Town Area,Safety,High
Leaking water pipe wasting water on NH-8,Water,Low
Sewage overflow on Temple Road street near Mohalla 7,Sanitation,Critical
Traffic signals not working on Old Delhi Road,Transport,Low
Water tanker not arriving on schedule in Town Area,Water,High
Children playground dirty and unsafe in Nagar Panchayat,Parks,Medium
Speed breaker damaged on Hospital Road highway,Road,Medium
No toilets in Mohalla 7 government school,Education,Low
Suspicious activity near ATM in Block 3,Safety,Medium
No toilets in Nagar Panchayat government school,Education,High
Demolition without safety measures in Village Kalan,Construction,Low
Grass not trimmed in Sector 5 public garden,Parks,Low
Teachers absent regularly from Nagar Panchayat school,Education,Medium
Lights flickering in Village Kalan residential area,Electricity,High
No doctors available at PHC in Nagar Panchayat for 30 days,Healthcare,High
Drain blocked for 3 days in Sector 5,Sanitation,Medium
Road dividers removed illegally on Market Street,Transport,Low
Traffic signals not working on Ring Road,Transport,High
Road dividers removed illegally on Hospital Road,Transport,Low
No parking facility near Village Kalan market,Transport,Low
Garbage dump near Ward 12 residential area,Sanitation,Low
Illegal parking blocking Old Delhi Road in Sector 5,Transport,Low
Contaminated water supply causing illness in Block 3,Water,High
Sewage overflow on NH-8 street near Zone 4,Sanitation,Medium
Drain blocked for 30 days in Mohalla 7,Sanitation,Medium
Transformer blew up near Colony B market,Electricity,Low
Dead animals not removed from Old Delhi Road,Sanitation,Critical
