feedback_text,sentiment,rating,category,ward
Electricity cut for 3 days without any information,NEGATIVE,1,Public Safety,Ward 18
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Roads,Ward 18
Project started but no updates for 6 months,NEGATIVE,2,Construction,Ward 17
The construction work was neat and professional,POSITIVE,4,Sanitation,Ward 18
"Garbage not collected for a week, health hazard",NEGATIVE,2,Transport,Ward 27
Survey completed for new drainage line,NEUTRAL,3,Roads,Ward 32
Electricity cut for 3 days without any information,NEGATIVE,2,Water,Ward 4
Road widening project expected to complete next month,NEUTRAL,3,Sanitation,Ward 5
Great improvement in garbage collection frequency,POSITIVE,5,Construction,Ward 24
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Transport,Ward 48
Street light maintenance scheduled for this weekend,NEUTRAL,3,Public Safety,Ward 27
Road repair work is ongoing in our sector,NEUTRAL,3,Education,Ward 2
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Parks,Ward 43
Survey completed for new drainage line,NEUTRAL,3,Healthcare,Ward 49
New contractor assigned for road repair work,NEUTRAL,3,Transport,Ward 43
The contractor did excellent work on the drainage project,POSITIVE,5,Water,Ward 6
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Construction,Ward 8
Water pipeline replacement work in progress,NEUTRAL,3,Electricity,Ward 31
Hospital renovation work started last month,NEUTRAL,3,Sanitation,Ward 2
Construction of new school building underway,NEUTRAL,3,Water,Ward 21
Public toilets are now clean and well maintained,POSITIVE,5,Healthcare,Ward 30
Water pipeline replacement work in progress,NEUTRAL,3,Transport,Ward 34
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Transport,Ward 8
"Electricity outages have reduced significantly, great work",POSITIVE,5,Public Safety,Ward 26
Road dug up for pipeline but not restored for months,NEGATIVE,1,Construction,Ward 39
"Water supply erratic, pressure very low",NEGATIVE,1,Water,Ward 8
Drainage cleaning drive happening next week,NEUTRAL,3,Education,Ward 21
Environmental clearance received for park project,NEUTRAL,3,Electricity,Ward 49
Survey completed for new drainage line,NEUTRAL,3,Public Safety,Ward 35
New school building construction is progressing well,POSITIVE,5,Water,Ward 8
Environmental clearance received for park project,NEUTRAL,3,Construction,Ward 24
Great improvement in garbage collection frequency,POSITIVE,5,Electricity,Ward 24
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Construction,Ward 22
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Sanitation,Ward 4
The construction work was neat and professional,POSITIVE,5,Parks,Ward 22
Work order issued for pothole repair,NEUTRAL,3,Public Safety,Ward 27
"Road marking done properly, reduces accidents at night",POSITIVE,4,Healthcare,Ward 3
New bus route announcement expected soon,NEUTRAL,3,Construction,Ward 42
Hospital renovation work started last month,NEUTRAL,3,Parks,Ward 10
Electricity department working on transformer upgrade,NEUTRAL,3,Construction,Ward 28
"Contractor used substandard materials, work failing",NEGATIVE,2,Construction,Ward 47
"Water supply erratic, pressure very low",NEGATIVE,1,Sanitation,Ward 18
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Electricity,Ward 40
Hospital renovation work started last month,NEUTRAL,3,Electricity,Ward 35
Electricity department working on transformer upgrade,NEUTRAL,3,Healthcare,Ward 31
Garbage collection timings have been changed to morning,NEUTRAL,3,Parks,Ward 40
Traffic signal upgrade project is under review,NEUTRAL,3,Roads,Ward 43
"Complaint registered, under review by department",NEUTRAL,3,Transport,Ward 6
Committee formed to review delayed projects,NEUTRAL,3,Healthcare,Ward 38
"Road marking done properly, reduces accidents at night",POSITIVE,5,Sanitation,Ward 20
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Construction,Ward 12
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Transport,Ward 4
Public toilet construction tender has been floated,NEUTRAL,3,Electricity,Ward 1
Power outage scheduled for maintenance work,NEUTRAL,3,Sanitation,Ward 14
Road marking work will start after monsoon,NEUTRAL,3,Sanitation,Ward 21
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Sanitation,Ward 35
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Electricity,Ward 21
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Parks,Ward 48
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Sanitation,Ward 8
"Electricity outages have reduced significantly, great work",POSITIVE,4,Healthcare,Ward 11
"Park facilities broken, children getting hurt",NEGATIVE,1,Transport,Ward 23
Survey completed for new drainage line,NEUTRAL,3,Roads,Ward 38
"The government responded quickly to our complaint, well done",POSITIVE,4,Electricity,Ward 31
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Parks,Ward 15
The contractor did excellent work on the drainage project,POSITIVE,5,Transport,Ward 2
Project started but no updates for 6 months,NEGATIVE,1,Construction,Ward 11
Road dug up for pipeline but not restored for months,NEGATIVE,2,Public Safety,Ward 29
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Healthcare,Ward 2
The construction work was neat and professional,POSITIVE,4,Water,Ward 23
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Water,Ward 2
The construction work was neat and professional,POSITIVE,4,Education,Ward 42
"Water supply erratic, pressure very low",NEGATIVE,1,Construction,Ward 15
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Water,Ward 3
"Contractor used substandard materials, work failing",NEGATIVE,1,Electricity,Ward 50
Electricity department working on transformer upgrade,NEUTRAL,3,Transport,Ward 27
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Education,Ward 28
"Water supply erratic, pressure very low",NEGATIVE,1,Parks,Ward 7
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Water,Ward 48
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Healthcare,Ward 6
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Construction,Ward 25
"The road repair was completed on time, very happy with the work",POSITIVE,4,Sanitation,Ward 2
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Sanitation,Ward 42
Electricity department working on transformer upgrade,NEUTRAL,3,Water,Ward 19
"Water quality has improved, no more complaints from residents",POSITIVE,5,Transport,Ward 39
"Complaint registered, under review by department",NEUTRAL,3,Sanitation,Ward 28
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Transport,Ward 24
Drainage cleaning drive happening next week,NEUTRAL,3,Construction,Ward 3
Great improvement in garbage collection frequency,POSITIVE,4,Parks,Ward 42
Happy with the prompt response from civic authorities,POSITIVE,4,Parks,Ward 5
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Parks,Ward 29
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Electricity,Ward 47
The bridge repair was done with high quality materials,POSITIVE,4,Public Safety,Ward 44
"Construction noise at midnight, residents suffering",NEGATIVE,2,Parks,Ward 37
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Public Safety,Ward 6
Construction of new school building underway,NEUTRAL,3,Parks,Ward 20
"Complaint registered, under review by department",NEUTRAL,3,Public Safety,Ward 17
New school building construction is progressing well,POSITIVE,4,Public Safety,Ward 25
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Electricity,Ward 37
Authorities not responding to any complaints,NEGATIVE,1,Education,Ward 35
Authorities not responding to any complaints,NEGATIVE,1,Education,Ward 33
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Healthcare,Ward 5
"Water quality has improved, no more complaints from residents",POSITIVE,5,Roads,Ward 40
"Electricity outages have reduced significantly, great work",POSITIVE,4,Electricity,Ward 22
Authorities not responding to any complaints,NEGATIVE,1,Healthcare,Ward 35
"Government hospital has no medicines, pathetic service",NEGATIVE,1,Parks,Ward 23
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Education,Ward 24
Hospital renovation work started last month,NEUTRAL,3,Education,Ward 10
Garbage collection timings have been changed to morning,NEUTRAL,3,Electricity,Ward 13
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Water,Ward 35
"Road marking done properly, reduces accidents at night",POSITIVE,5,Education,Ward 33
Great improvement in garbage collection frequency,POSITIVE,5,Water,Ward 2
Solar street lights are a wonderful initiative,POSITIVE,5,Parks,Ward 45
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Healthcare,Ward 12
"Complained 10 times about potholes, zero response",NEGATIVE,1,Roads,Ward 44
Traffic signal upgrade project is under review,NEUTRAL,3,Water,Ward 10
Street light maintenance scheduled for this weekend,NEUTRAL,3,Parks,Ward 34
Bridge inspection scheduled for next week,NEUTRAL,3,Electricity,Ward 32
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Sanitation,Ward 48
Electricity cut for 3 days without any information,NEGATIVE,2,Parks,Ward 17
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Healthcare,Ward 26
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Water,Ward 14
"Construction noise at midnight, residents suffering",NEGATIVE,2,Construction,Ward 6
The construction work was neat and professional,POSITIVE,4,Transport,Ward 36
"The government responded quickly to our complaint, well done",POSITIVE,4,Sanitation,Ward 14
Traffic signal upgrade project is under review,NEUTRAL,3,Electricity,Ward 19
Road dug up for pipeline but not restored for months,NEGATIVE,2,Sanitation,Ward 21
Project started but no updates for 6 months,NEGATIVE,1,Roads,Ward 42
"Electricity outages have reduced significantly, great work",POSITIVE,5,Sanitation,Ward 49
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Transport,Ward 36
"Road marking done properly, reduces accidents at night",POSITIVE,5,Public Safety,Ward 1
Construction of new school building underway,NEUTRAL,3,Public Safety,Ward 33
Road dug up for pipeline but not restored for months,NEGATIVE,1,Transport,Ward 49
Authorities not responding to any complaints,NEGATIVE,1,Healthcare,Ward 4
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Public Safety,Ward 11
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Public Safety,Ward 5
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Electricity,Ward 39
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Education,Ward 28
Traffic signal upgrade project is under review,NEUTRAL,3,Healthcare,Ward 19
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Parks,Ward 12
Street light maintenance scheduled for this weekend,NEUTRAL,3,Water,Ward 46
"The road repair was completed on time, very happy with the work",POSITIVE,5,Sanitation,Ward 3
Bridge inspection scheduled for next week,NEUTRAL,3,Construction,Ward 17
New hospital wing is a great addition to our area,POSITIVE,5,Education,Ward 22
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Healthcare,Ward 41
Public toilets are now clean and well maintained,POSITIVE,4,Transport,Ward 23
Water pipeline replacement work in progress,NEUTRAL,3,Healthcare,Ward 37
"Bus frequency has increased, commuting is easier",POSITIVE,4,Water,Ward 40
"Electricity outages have reduced significantly, great work",POSITIVE,5,Parks,Ward 9
Survey completed for new drainage line,NEUTRAL,3,Roads,Ward 39
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Electricity,Ward 21
"Contractor used substandard materials, work failing",NEGATIVE,2,Parks,Ward 44
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Education,Ward 34
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Parks,Ward 7
Road marking work will start after monsoon,NEUTRAL,3,Healthcare,Ward 11
Electricity department working on transformer upgrade,NEUTRAL,3,Public Safety,Ward 1
"Water supply erratic, pressure very low",NEGATIVE,1,Healthcare,Ward 27
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Water,Ward 39
"Complained 10 times about potholes, zero response",NEGATIVE,2,Transport,Ward 9
Road repair work is ongoing in our sector,NEUTRAL,3,Public Safety,Ward 46
Solar street lights are a wonderful initiative,POSITIVE,4,Public Safety,Ward 1
"Park renovation looks beautiful, children love it",POSITIVE,4,Sanitation,Ward 23
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Healthcare,Ward 45
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Water,Ward 13
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Sanitation,Ward 7
Environmental clearance received for park project,NEUTRAL,3,Parks,Ward 42
Electricity cut for 3 days without any information,NEGATIVE,2,Transport,Ward 26
Environmental clearance received for park project,NEUTRAL,3,Parks,Ward 35
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Education,Ward 46
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Education,Ward 24
Road marking work will start after monsoon,NEUTRAL,3,Roads,Ward 8
The bridge repair was done with high quality materials,POSITIVE,4,Water,Ward 42
Road dug up for pipeline but not restored for months,NEGATIVE,1,Electricity,Ward 38
Traffic signal upgrade project is under review,NEUTRAL,3,Parks,Ward 30
Electricity cut for 3 days without any information,NEGATIVE,1,Sanitation,Ward 21
"Water quality has improved, no more complaints from residents",POSITIVE,5,Sanitation,Ward 5
Road widening project completed ahead of schedule,POSITIVE,4,Construction,Ward 10
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Sanitation,Ward 27
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Education,Ward 50
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Construction,Ward 10
"Road marking done properly, reduces accidents at night",POSITIVE,4,Roads,Ward 43
"Water quality has improved, no more complaints from residents",POSITIVE,4,Roads,Ward 40
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Transport,Ward 47
New hospital wing is a great addition to our area,POSITIVE,5,Education,Ward 12
Road marking work will start after monsoon,NEUTRAL,3,Public Safety,Ward 47
"Water quality has improved, no more complaints from residents",POSITIVE,5,Healthcare,Ward 17
Road widening project completed ahead of schedule,POSITIVE,4,Healthcare,Ward 50
Bridge inspection scheduled for next week,NEUTRAL,3,Public Safety,Ward 24
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Healthcare,Ward 44
New school building construction is progressing well,POSITIVE,4,Water,Ward 12
"Water quality has improved, no more complaints from residents",POSITIVE,5,Construction,Ward 44
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Roads,Ward 40
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Healthcare,Ward 6
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Transport,Ward 9
Road dug up for pipeline but not restored for months,NEGATIVE,1,Education,Ward 27
Garbage collection timings have been changed to morning,NEUTRAL,3,Roads,Ward 18
"Road marking done properly, reduces accidents at night",POSITIVE,4,Electricity,Ward 39
Road widening project expected to complete next month,NEUTRAL,3,Construction,Ward 38
Work order issued for pothole repair,NEUTRAL,3,Education,Ward 27
Survey completed for new drainage line,NEUTRAL,3,Sanitation,Ward 46
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Parks,Ward 4
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Public Safety,Ward 33
Project started but no updates for 6 months,NEGATIVE,1,Parks,Ward 7
Road widening project completed ahead of schedule,POSITIVE,4,Sanitation,Ward 32
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Electricity,Ward 9
"Construction noise at midnight, residents suffering",NEGATIVE,2,Parks,Ward 42
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Parks,Ward 12
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Electricity,Ward 4
"Park facilities broken, children getting hurt",NEGATIVE,2,Water,Ward 29
"Construction noise at midnight, residents suffering",NEGATIVE,2,Water,Ward 49
Authorities not responding to any complaints,NEGATIVE,1,Transport,Ward 40
Committee formed to review delayed projects,NEUTRAL,3,Education,Ward 41
Survey completed for new drainage line,NEUTRAL,3,Healthcare,Ward 43
"Water supply erratic, pressure very low",NEGATIVE,1,Education,Ward 16
Project started but no updates for 6 months,NEGATIVE,1,Parks,Ward 16
Power outage scheduled for maintenance work,NEUTRAL,3,Sanitation,Ward 35
"Water supply erratic, pressure very low",NEGATIVE,2,Construction,Ward 43
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Water,Ward 50
"Park facilities broken, children getting hurt",NEGATIVE,1,Sanitation,Ward 21
Work order issued for pothole repair,NEUTRAL,3,Transport,Ward 42
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Transport,Ward 46
Environmental clearance received for park project,NEUTRAL,3,Healthcare,Ward 10
Garbage collection timings have been changed to morning,NEUTRAL,3,Education,Ward 11
The contractor did excellent work on the drainage project,POSITIVE,5,Healthcare,Ward 3
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Healthcare,Ward 3
Environmental clearance received for park project,NEUTRAL,3,Education,Ward 23
"Water supply erratic, pressure very low",NEGATIVE,1,Electricity,Ward 10
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Education,Ward 11
New contractor assigned for road repair work,NEUTRAL,3,Transport,Ward 5
Hospital renovation work started last month,NEUTRAL,3,Electricity,Ward 16
Public toilet construction tender has been floated,NEUTRAL,3,Transport,Ward 19
Survey completed for new drainage line,NEUTRAL,3,Education,Ward 17
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Public Safety,Ward 25
"Park renovation looks beautiful, children love it",POSITIVE,4,Electricity,Ward 45
New contractor assigned for road repair work,NEUTRAL,3,Electricity,Ward 33
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Roads,Ward 29
Water pipeline replacement work in progress,NEUTRAL,3,Transport,Ward 15
Survey completed for new drainage line,NEUTRAL,3,Healthcare,Ward 12
Environmental clearance received for park project,NEUTRAL,3,Construction,Ward 20
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Construction,Ward 15
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Roads,Ward 3
The sanitation team is doing a commendable job,POSITIVE,4,Water,Ward 50
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Construction,Ward 2
Road widening project expected to complete next month,NEUTRAL,3,Electricity,Ward 37
New project for park development announced for our ward,NEUTRAL,3,Sanitation,Ward 28
New bus route announcement expected soon,NEUTRAL,3,Public Safety,Ward 29
New school building construction is progressing well,POSITIVE,5,Sanitation,Ward 43
Public toilet construction tender has been floated,NEUTRAL,3,Education,Ward 9
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Healthcare,Ward 15
Solar street lights are a wonderful initiative,POSITIVE,4,Water,Ward 1
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Roads,Ward 27
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Parks,Ward 22
Project started but no updates for 6 months,NEGATIVE,1,Roads,Ward 12
"Complaint registered, under review by department",NEUTRAL,3,Public Safety,Ward 47
"Road marking done properly, reduces accidents at night",POSITIVE,4,Transport,Ward 14
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Transport,Ward 34
Road widening project completed ahead of schedule,POSITIVE,5,Water,Ward 16
"Road marking done properly, reduces accidents at night",POSITIVE,5,Sanitation,Ward 45
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Water,Ward 1
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Healthcare,Ward 20
New bus route announcement expected soon,NEUTRAL,3,Water,Ward 45
Environmental clearance received for park project,NEUTRAL,3,Healthcare,Ward 46
Traffic signal upgrade project is under review,NEUTRAL,3,Education,Ward 33
Road widening project completed ahead of schedule,POSITIVE,5,Construction,Ward 45
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Public Safety,Ward 21
Road widening project completed ahead of schedule,POSITIVE,4,Water,Ward 13
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Parks,Ward 50
"Water quality has improved, no more complaints from residents",POSITIVE,5,Electricity,Ward 45
Road dug up for pipeline but not restored for months,NEGATIVE,2,Education,Ward 25
Road dug up for pipeline but not restored for months,NEGATIVE,1,Construction,Ward 1
Great improvement in garbage collection frequency,POSITIVE,4,Electricity,Ward 18
Garbage collection timings have been changed to morning,NEUTRAL,3,Sanitation,Ward 2
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Education,Ward 6
Great improvement in garbage collection frequency,POSITIVE,4,Transport,Ward 15
Electricity department working on transformer upgrade,NEUTRAL,3,Sanitation,Ward 22
"Garbage not collected for a week, health hazard",NEGATIVE,1,Education,Ward 37
Bridge inspection scheduled for next week,NEUTRAL,3,Construction,Ward 13
"Park facilities broken, children getting hurt",NEGATIVE,2,Electricity,Ward 20
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Electricity,Ward 17
Project started but no updates for 6 months,NEGATIVE,2,Education,Ward 27
Construction of new school building underway,NEUTRAL,3,Healthcare,Ward 6
Project completion date extended by two months,NEUTRAL,3,Electricity,Ward 19
New bus route announcement expected soon,NEUTRAL,3,Education,Ward 3
"Water quality has improved, no more complaints from residents",POSITIVE,5,Public Safety,Ward 1
Bridge inspection scheduled for next week,NEUTRAL,3,Water,Ward 15
Road marking work will start after monsoon,NEUTRAL,3,Transport,Ward 18
Drainage cleaning drive happening next week,NEUTRAL,3,Construction,Ward 20
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Healthcare,Ward 33
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Roads,Ward 6
"Complained 10 times about potholes, zero response",NEGATIVE,1,Public Safety,Ward 25
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Construction,Ward 6
Survey completed for new drainage line,NEUTRAL,3,Water,Ward 21
Great improvement in garbage collection frequency,POSITIVE,4,Roads,Ward 9
Drainage cleaning drive happening next week,NEUTRAL,3,Sanitation,Ward 27
"Water supply erratic, pressure very low",NEGATIVE,1,Roads,Ward 42
"Contractor used substandard materials, work failing",NEGATIVE,2,Water,Ward 44
"Park facilities broken, children getting hurt",NEGATIVE,1,Water,Ward 17
"Garbage not collected for a week, health hazard",NEGATIVE,1,Public Safety,Ward 30
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Construction,Ward 5
"Contractor used substandard materials, work failing",NEGATIVE,2,Public Safety,Ward 37
"Water quality has improved, no more complaints from residents",POSITIVE,5,Parks,Ward 18
"Road marking done properly, reduces accidents at night",POSITIVE,4,Healthcare,Ward 23
The contractor did excellent work on the drainage project,POSITIVE,4,Public Safety,Ward 3
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Construction,Ward 2
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Education,Ward 15
"Bus frequency has increased, commuting is easier",POSITIVE,4,Water,Ward 41
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Water,Ward 27
Water pipeline replacement work in progress,NEUTRAL,3,Parks,Ward 44
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Parks,Ward 9
Happy with the prompt response from civic authorities,POSITIVE,4,Water,Ward 18
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Sanitation,Ward 30
New traffic signals have reduced accidents in our area,POSITIVE,5,Transport,Ward 14
"Bus frequency has increased, commuting is easier",POSITIVE,4,Roads,Ward 38
Drainage cleaning drive happening next week,NEUTRAL,3,Transport,Ward 23
"Construction noise at midnight, residents suffering",NEGATIVE,2,Water,Ward 35
Solar street lights are a wonderful initiative,POSITIVE,5,Transport,Ward 16
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Water,Ward 10
Public toilet construction tender has been floated,NEUTRAL,3,Transport,Ward 15
Power outage scheduled for maintenance work,NEUTRAL,3,Sanitation,Ward 49
Road dug up for pipeline but not restored for months,NEGATIVE,2,Healthcare,Ward 24
Environmental clearance received for park project,NEUTRAL,3,Transport,Ward 41
New contractor assigned for road repair work,NEUTRAL,3,Education,Ward 10
The construction work was neat and professional,POSITIVE,4,Public Safety,Ward 41
Great improvement in garbage collection frequency,POSITIVE,4,Parks,Ward 38
Road repair work is ongoing in our sector,NEUTRAL,3,Roads,Ward 21
Public toilet construction tender has been floated,NEUTRAL,3,Construction,Ward 19
Construction of new school building underway,NEUTRAL,3,Public Safety,Ward 3
Public toilets are now clean and well maintained,POSITIVE,5,Education,Ward 2
"Bus route cancelled without notice, people suffering",NEGATIVE,2,Parks,Ward 16
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Construction,Ward 34
"Electricity outages have reduced significantly, great work",POSITIVE,5,Roads,Ward 28
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Healthcare,Ward 16
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Education,Ward 4
"Park renovation looks beautiful, children love it",POSITIVE,5,Electricity,Ward 21
The sanitation team is doing a commendable job,POSITIVE,4,Healthcare,Ward 45
Environmental clearance received for park project,NEUTRAL,3,Electricity,Ward 39
"Bus frequency has increased, commuting is easier",POSITIVE,5,Water,Ward 19
The sanitation team is doing a commendable job,POSITIVE,4,Electricity,Ward 16
Survey completed for new drainage line,NEUTRAL,3,Sanitation,Ward 40
"Bus frequency has increased, commuting is easier",POSITIVE,5,Education,Ward 23
The construction work was neat and professional,POSITIVE,5,Transport,Ward 2
Authorities not responding to any complaints,NEGATIVE,2,Education,Ward 27
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Public Safety,Ward 21
"Government hospital has no medicines, pathetic service",NEGATIVE,1,Sanitation,Ward 16
Road repair work is ongoing in our sector,NEUTRAL,3,Public Safety,Ward 35
Street light maintenance scheduled for this weekend,NEUTRAL,3,Sanitation,Ward 23
Great improvement in garbage collection frequency,POSITIVE,4,Public Safety,Ward 27
"Electricity outages have reduced significantly, great work",POSITIVE,4,Transport,Ward 26
Road widening project expected to complete next month,NEUTRAL,3,Sanitation,Ward 4
Road repair work is ongoing in our sector,NEUTRAL,3,Transport,Ward 30
Road dug up for pipeline but not restored for months,NEGATIVE,2,Construction,Ward 23
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Healthcare,Ward 12
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Healthcare,Ward 50
"Park renovation looks beautiful, children love it",POSITIVE,5,Water,Ward 29
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Construction,Ward 18
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Parks,Ward 33
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Construction,Ward 45
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Construction,Ward 12
"Bridge cracks visible, no action from authorities",NEGATIVE,2,Transport,Ward 5
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Parks,Ward 8
The sanitation team is doing a commendable job,POSITIVE,5,Electricity,Ward 40
"Construction noise at midnight, residents suffering",NEGATIVE,1,Sanitation,Ward 14
"The road repair was completed on time, very happy with the work",POSITIVE,5,Roads,Ward 2
Project completion date extended by two months,NEUTRAL,3,Sanitation,Ward 31
"Water supply erratic, pressure very low",NEGATIVE,2,Electricity,Ward 6
Construction of new school building underway,NEUTRAL,3,Transport,Ward 29
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Electricity,Ward 44
New school building construction is progressing well,POSITIVE,4,Electricity,Ward 20
Happy with the prompt response from civic authorities,POSITIVE,5,Construction,Ward 20
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Sanitation,Ward 43
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Roads,Ward 22
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Public Safety,Ward 25
Traffic signal upgrade project is under review,NEUTRAL,3,Education,Ward 35
"Park renovation looks beautiful, children love it",POSITIVE,5,Water,Ward 29
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Construction,Ward 49
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Education,Ward 44
The contractor did excellent work on the drainage project,POSITIVE,4,Water,Ward 34
Environmental clearance received for park project,NEUTRAL,3,Roads,Ward 41
Public toilets are now clean and well maintained,POSITIVE,5,Electricity,Ward 39
Committee formed to review delayed projects,NEUTRAL,3,Construction,Ward 35
"Construction noise at midnight, residents suffering",NEGATIVE,1,Public Safety,Ward 41
Project started but no updates for 6 months,NEGATIVE,1,Construction,Ward 15
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Water,Ward 33
New project for park development announced for our ward,NEUTRAL,3,Healthcare,Ward 14
"Construction noise at midnight, residents suffering",NEGATIVE,2,Water,Ward 49
New contractor assigned for road repair work,NEUTRAL,3,Roads,Ward 25
